title,brand,rating,reviews,selling_price,image_url,product_url,selling_price_original,rating_original,reviews_original,brand_original,title_original,price_category,rating_category,review_volume,value_score,title_length
Mirada Cute Peach Bunny Soft Toy for Girls/Kids | Huggable Rabbit with Long Ears | Soft Stuffed Plush Animal | - 35cm,Mirada,4.5,5085,659,https://m.media-amazon.com/images/I/611IF26tznL._AC_UL320_.jpg,,659,4.5,5085,Mirada,Mirada Cute Peach Bunny Soft Toy for Girls/Kids | Huggable Rabbit with Long Ears | Soft Stuffed Plush Animal | - 35cm,Mid-Range,Good,Very High,6.828528072837632,117
HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,Hug,3.7,3,939,https://m.media-amazon.com/images/I/710jBD4M2ML._AC_UL320_.jpg,,939,3.7,3,HUG,HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Toy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 4 FEET Cream Plush & Stuffed Toys,Mid-Range,Average,Low,3.940362087326944,189
"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Toy Figure Bear Plush & Stuffed Toys (ELEPAHNT with Monkey, Grey) Lovely Toy Figure",Hug,4.2,94,549,https://m.media-amazon.com/images/I/711x4LO3lsL._AC_UL320_.jpg,,549,4.2,94,HUG,"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Toy Figure Bear Plush & Stuffed Toys (ELEPAHNT with Monkey, Grey) Lovely Toy Figure",Mid-Range,Good,Medium,7.6502732240437155,163
"HUG 'n' FEEL SOFT TOYS Teddy Bear, 2 Feet Soft Toys | Soft Toys Girls, Teddy Bears Birthday Gift for Girls Plush & Stuffed Toys",Hug,4.1,513,408,https://m.media-amazon.com/images/I/71bfAsVWPkS._AC_UL320_.jpg,,408,4.1,513,HUG,"HUG 'n' FEEL SOFT TOYS Teddy Bear, 2 Feet Soft Toys | Soft Toys Girls, Teddy Bears Birthday Gift for Girls Plush & Stuffed Toys",Budget,Good,High,10.049019607843137,127
"HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Plush & Stuffed Toys",Hug,3.9,59,628,https://m.media-amazon.com/images/I/61ZlQlogpAS._AC_UL320_.jpg,,628,3.9,59,HUG,"HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Plush & Stuffed Toys",Mid-Range,Average,Medium,6.210191082802548,130
Storio Toy Cute Rainbow Colored Huggable Teddy Bear | 30 cm | Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Teddy | Best Valentine Gift,Storio,4.2,2124,329,https://m.media-amazon.com/images/I/61paoQad7gL._AC_UL320_.jpg,,329,4.2,2124,Storio,Storio Toy Cute Rainbow Colored Huggable Teddy Bear | 30 cm | Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Teddy | Best Valentine Gift,Budget,Good,Very High,12.76595744680851,165
Storescent Hooded Teddy Bear Plush Toy | Soft & Cute Stuffed Animal Toy for Hugging for Kids & Loved Ones - Yellow 45cm,Storescent,4.0,1747,449,https://m.media-amazon.com/images/I/71DokOsHoNL._AC_UL320_.jpg,,449,4.0,1747,Storescent,Storescent Hooded Teddy Bear Plush Toy | Soft & Cute Stuffed Animal Toy for Hugging for Kids & Loved Ones - Yellow 45cm,Budget,Average,Very High,8.908685968819599,119
"LOVEY DOVEY Super Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Bear (30 cm Super Soft Toys, Kangaroo with Baby)",Lovey,3.5,32,458,https://m.media-amazon.com/images/I/51MceuI7nKL._AC_UL320_.jpg,,458,3.5,32,LOVEY,"LOVEY DOVEY Super Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Bear (30 cm Super Soft Toys, Kangaroo with Baby)",Budget,Average,Low,7.641921397379912,129
Tinytotem Cute Breathing Elephant Teddy Bear for Kids Super Soft Plush Huggable Toy - 32 cm (Grey),Tinytotem,3.4,15,899,https://m.media-amazon.com/images/I/51LYxxqVrBL._AC_UL320_.jpg,,899,3.4,15,Tinytotem,Tinytotem Cute Breathing Elephant Teddy Bear for Kids Super Soft Plush Huggable Toy - 32 cm (Grey),Mid-Range,Average,Low,3.7819799777530587,98
